flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category--Frozen Custard,category--Sherbert,category--Sorbet,category--Gelato,category--Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla,allergy_icons--gluten-free,allergy_icons--peanut-free,allergy_icons--dairy-free,allergy_icons--nut-free
Orange Sherbet,cup,Orange Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, ORANGE PUREE CONCENTRATE [WATER, ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, YELLOW 6 (COLOR)], CREAM, WHEY, CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80,CARRAGEENAN], YELLOW 6 (OLOR). CONTAINS: Milk",Milk,1,1 Unit (85g),120,,5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,25mg,,0%,,26g,,0%,,0g,,0%,,20g,,19g,,0%,,1g,,0%,,0mg,,0%,,34mg,,0%,,0mg,,0%,,53mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,,X,X,,X
Raspberry Sherbet,cup,Raspberry Flavored Sherbet,"NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM,RASPBERRYPUREE [FRUIT JUICE CONCENTRATE (RASPBERRY JUICE CONCENTRATE, PLUM JUICE CONCENTRATE), WATER, CORN SYRUP, RASPBERRIES, NATURAL AND ARTIFICIAL FLAVORS, RED 40 (COLOR)], RASPBERRY PUREE [HIGH FRUCTOSE CORN SYRUP, WATER, RASPBERRY PUREE, CONCENTRATED RASPBERRY JUICE, NATURALANDARTIFICIAL FLAVORS, MALIC ACID, RED 40 AND BLUE 1 (COLOR)], WHEY, RED RASPBERRY FLAVOR BASE [RASPBERRY PUREE, SUGAR, NATURAL FLAVOR WITH OTHER NATURAL FLAVORS, WATER, CITRIC ACID, GUM TRAGACANTH, CARAMELCOLOR,RED40AND BLUE 1 (COLOR)], CITRIC ACID, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], RED 40 AND BLUE 1 (COLOR). CONTAINS: Milk.",Milk,1,1 Unit (85g),120,,5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,25mg,,0%,,27g,,0%,,0g,,0%,,21g,,19g,,0%,,1g,,0%,,0mg,,0%,,30mg,,0%,,0mg,,0%,,50mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,,X,X,,X
Strawberry ,cup,Strawberry Flavored Ice Cream,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, STRAWBERRY SAUCE [CORN SYRUP, WATER, MODIFIED CORN STARCH,SUGAR,NATURALAND ARTIFICIAL FLAVORS, CITRIC ACID, CELLULOSE GUM, RED 40 AND BLUE 1 (COLOR)], CORN SYRUP, WHEY, STRAWBERRY FLAVOR BASE [NATURAL FLAVORS, CITRIC ACID, RED 40 (COLOR)], STABILIZER [GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], CITRIC ACID, SEA SALT, COLOR [RED 40, BLUE 1]. CONTAINS: Milk.",Milk,1,1 Unit (66g),130,,5g,,8%,,4g,,20%,,0g,,0%,,15mg,,0%,,50mg,,0%,,16g,,0%,,0g,,0%,,13g,,9g,,0%,,2g,,0%,,0mg,,0%,,70mg,,0%,,0mg,,0%,,110mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,x,,,,,X,X,,X
Strawberry Sundae,cup,Vanilla Ice Cream with Strawberry Swirl,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, STRAWBERRY FLAVORED SWIRL [CORN SYRUP, WATER, MODIFIED CORN STARCH, SUGAR, NATURAL AND ARTIFICIAL FLAVORS, CITRIC ACID, CELLULOSE GUM, RED 40 (COLOR), BLUE 1 (COLOR)], CORN SYRUP, WHEY, STABILIZER [GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL AND ARTIFICIAL FLAVOR, CARAMEL COLOR], SEA SALT. CONTAINS: Milk.",Milk,1,1 Unit (69g),130,,5g,,8%,,4,,20%,,0g,,0%,,15mg,,0%,,50mg,,0%,,18g,,0%,,0g,,0%,,14g,,10g,,0%,,2g,,0%,,0mg,,0%,,70mg,,0%,,0.1mg,,0%,,110mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,x,,,,x,X,X,,X
Strawberry Yogurt,cup,Strawberry Flavored Yogurt,"NONFAT Milk, BUTTERMilk, STRAWBERRY PUREE [STRAWBERRIES, SUGAR, WATER, STRAWBERRY PUREE CONCENTRATE, LOCUST BEAN GUM, ELDERBERRY JUICE CONCENTRATE,NATURAL FLAVOR, XANTHAN GUM], SUGAR, CORN SYRUP, CREAM, WHEY, STRAWBERRY FLAVOR [NATURAL FLAVORS, CITRIC ACID, RED 40 (COLOR)], YOGURT FLAVOR [LACTIC ACID, VINEGAR, NATURAL FLAVOR], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], MALTODEXTRIN, YOGURT CULTURES. CONTAINS: Milk.",Milk,1,1 Unit (67g),90,,5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,50mg,,0%,,18g,,0%,,0g,,0%,,14g,,10g,,0%,,2g,,0%,,0mg,,0%,,90mg,,0%,,0mg,,0%,,150mg,,0%,,0mg,0%,,,,,,,,,,x,,,,,,x,,,,,X,X,,X
Vanilla Ice Cream,cup,Vanilla Flavored Ice Cream,"NONFAT Milk, BUTTERMilk, CREAM, SUGAR, CORN SYRUP, WHEY, STABILIZER [GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL AND ARTIFICIAL FLAVORS, CARAMEL COLOR], SEA SALT, ANNATTO COLOR. CONTAINS: Milk.",Milk,1,1 Unit (66g),130,,5g,,9%,,4.5g,,23%,,0g,,0%,,20mg,,0%,,50mg,,0%,,15g,,0%,,0g,,0%,,12g,,8g,,0%,,2g,,0%,,0mg,,0%,,80mg,,0%,,0mg,,0%,,120mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,,,,,x,X,X,,X
Vanilla Yogurt ,cup,Vanilla Flavored Yogurt,"NONFAT Milk, BUTTERMilk, SUGAR, CORN SYRUP, CREAM, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], MALTODEXTRIN, VANILLA FLAVOR [VANILLA EXTRACT,NATURALAND ARTIFICIAL FLAVOR], YOGURT FLAVOR [LACTIC ACID, VINEGAR, NATURAL FLAVOR], YOGURT CULTURES. CONTAINS: Milk",Milk,1,1 Unit (67g),100,,5g,,3%,,1.5g,,8%,,0g,,0%,,10mg,,0%,,65mg,,0%,,17g,,0%,,0g,,0%,,14g,,9g,,0%,,3g,,0%,,0mg,,0%,,110mg,,0%,,0mg,,0%,,170mg,,0%,,0mg,0%,,,,,,,,,,x,,,,,,,,,,x,X,X,,X
NFNS Strawberry Swirl,cup,Vanilla Flavored Ice Cream with a Strawberry Swirl,"NONFAT Milk, STABILIZER [POLYDEXTROSE, MALTODEXTRIN, SORBITOL, GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], STRAWBERRY SWIRL [MALTITOL SYRUP, STRAWBERRY PUREE, WATER, MODIFIED CORN STARCH, NATURAL FLAVORS, CELLULOSE GUM, ASPARTAME*, CITRIC ACID, RED 40 (COLOR)], MALTODEXTRIN, WHEY, CREAM, ARTIFICIAL VANILLA FLAVOR [ARTIFICIAL FLAVORS, CARAMEL COLOR], SUCRALOSE. CONTAINS: Milk",Milk,1,1 Unit (53g),60,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,75mg,,0%,,15g,,0%,,3g,,0%,,4g,,0g,,0%,,2g,,0%,,0mg,,0%,,80mg,,0%,,0mg,,0%,,120mg,,0%,,0mg,0%,x,,,,,,x,,,,,,,,,x,,,,x,X,X,,X
NFNS Chocolate Swirl,cup,Vanilla Flavored Ice Cream with a Chocolate Swirl,"NONFAT Milk, STABILIZER [POLYDEXTROSE, MALTODEXTRIN, SORBITOL, GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], NO SUGAR ADDED CHOCOLATE RIPPLE [MALTITOL SYRUP, WATER, GLYCERIN, COCOA, COCOA PROCESSED WITH ALKALI, NONFAT DRY Milk, MODIFIED CORN STARCH, SALT, GUAR GUM, CITRIC ACID, NATURAL FLAVORS], MALTODEXTRIN, WHEY, CREAM,ARTIFICAL FLAVOR, CARAMEL COLOR, SUCRALOSE. CONTAINS: Milk.",Milk,1,1 Unit (52g),60,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,80mg,,0%,,15g,,0%,,3g,,0%,,4g,,0g,,0%,,2g,,0%,,0mg,,0%,,80mg,,0%,,0mg,,0%,,140mg,,0%,,0mg,0%,x,,,,,,x,,,,,,x,,,,,,,x,X,X,,X
NFNS Vanilla ,cup,Vanilla Flavored Ice Cream,"NONFAT Milk, STABILIZER [POLYDEXTROSE, MALTODEXTRIN, SORBITOL, GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], MALTODEXTRIN, WHEY, CREAM, ARTIFICIAL VANILLA FLAVOR [ARTIFICIAL FLAVORS, CARAMEL COLOR], SUCRALOSE. CONTAINS: Milk.",Milk,1,1 Unit (49g),50,,0g,,0%,,0g,,0%,,0g,,0%,,0mg,,0%,,75mg,,0%,,14g,,0%,,3g,,0%,,4g,,0g,,0%,,2g,,0%,,0mg,,0%,,80mg,,0%,,0mg,,0%,,120mg,,0%,,0mg,0%,x,,,,,,x,,,,,,,,,,,,,x,X,X,,X
Super Madness,cup,"Blue Raspberry, Cherry and Vanilla Flavored Ice Cream ","NONFAT Milk, BUTTERMilk, CREAM, SUGAR, CORN SYRUP, WHEY, RASPBERRY FLAVOR [WATER, CORN STARCH - MODIFIED, NATURALAND ARTIFICIAL FLAVOR, BLUE 1 (COLOR), CITRIC ACID], CHERRY FLAVOR [CHERRY JUICE CONCENTRATE,NATURAL FLAVOR, RED 40 (COLOR)], STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80,CARRAGEENAN], YELLOW 5 (COLOR), NATURAL &ARTIFICIAL VANILLA [HIGH FRUCTOSE CORN SYRUP, NATURAL &ARTIFICIAL FLAVORS, CARAMEL COLOR], COLOR [RED 40 (COLOR), CITRIC ACID, BLUE 1 (COLOR)], SEA SALT. CONTAINS: Milk",Milk,1,9 FL OZ (150g),280,,14g,,18%,,10g,,50%,,0g,,,,40mg,,0%,,110mg,,0%,,33g,,0%,,0g,,0%,,27g,,0g,,0%,,0g,,0%,,0mg,,0%,,177mg,,0%,,0mg,,0%,,273mg,,0%,,,,x,,,,,,,,,,,,,,,x,,,,x,X,X,,X
Choco Chiller,cup,Chocolate Malt flavored Ice Cream,"NONFAT Milk,SUGAR, CORN SYRUP, CREAM, BUTTERMilk, MALTED Milk POWDER [MALTED BARLEY, WHEAT, WATER, Milk, HYDROLYZED WHEAT GLUTEN, SODIUM BICARBONATE, SALT], WHEY, COCOA PROCESSED WITH ALKALI, STABILIZER [GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL AND ARTIFICIAL FLAVORS, CARAMEL COLOR], SEA SALT, VITAMIN A PALMITATE. ","Milk, Wheat",1,9 FL OZ (150g),230,,4.5g,,6%,,3g,,15%,,0g,,0%,,15mg,,0%,,140mg,,0%,,43g,,0%,,0g,,0%,,34g,,0g,,1%,,0g,,0%,,0mg,,0%,,200mg,,0%,,1mg,,0%,,340mg,,0%,,180mg,0%,,,,,,,,,,,,,,,,,,,,,X,X,,X
Cookies N Cream ,cup,Crushed cookies blended in Vanilla ice cream,"NONFAT Milk, CREAM, BUTTERMilk, SUGAR, CORN SYRUP, CHOCOLATE SANDWICH COOKIE [SUGAR, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B1 {THIAMINE MONONITRATE}, VITAMIN B2 {RIBOFLAVIN}, FOLIC ACID). SoyBEAN AND PALM OIL WITH TBHQ FOR FRESHNESS, COCOA PROCESSED WITH ALKALI, INVERT SUGAR, CONTAINS 2% OR LESS OF DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, CHOCOLATE, LEAVENING (BAKING SODA, MONOCALCIUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR, Soy LECITHIN (EMULSIFIER), WHEY], WHEY, STABILIZER [MONO & DIGLYCERIDES, GUAR GUM, LOCUST BEAN GUM, CARRAGEENAN], VANILLA EXTRACT, ARTIFICIAL FLAVOR, SEA SALT. CONTAINS: Milk, Soy, WHEAT.","Milk, Soy. Wheat",1,9 FL OZ (152g),330,,18g,,23%,,11g,,55%,,0g,,0%,,45mg,,2%,,150mg,,0%,,40g,,0%,,1g,,0%,,31g,,0g,,0%,,0g,,0%,,,,0%,,183mg,,0%,,1mg,,0%,,290mg,,0%,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X
Churned Caramel Swirl ,cup,Churched Caramel Swirl Reduced Fat Ice Cream,"BUTTERMilk, NONFAT Milk, SUGAR, CREAM, CARAMEL SWIRL [CORN SYRUP, WATER, SWEETENED CONDENSED Milk (CONDENSED Milk, SUGAR), SUGAR, SWEETENED CONDENSED SKIM Milk, (CONDENSED SKIM Milk, SUGAR), CORN STARCH - MODIFIED, SODIUM ALGINATE, SALT, SODIUM BICARBONATE], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CARAMEL COLOR], ANNATTO EXTRACT (COLOR).",Milk,8,1 Unit (53g),100,,3g,,4%,,2g,,10%,,0g,,0%,,10mg,,0%,,50mg,,0%,,16g,,0%,,0g,,0%,,12g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,1mg,,0%,,0mg,0%,x,,,,,x,,,,,,x,,,,,,,,,X,X,,X
Churned Chocolate Swirl,cup,Churned Chocolate Swirl Reduced Fat Ice Cream,"BUTTERMilk, NONFAT Milk, SUGAR, CREAM, CHOCOLATE FLAVORED SWIRL [CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, CORN STARCH - MODIFIED, SALT, VANILLA EXTRACT, SKIM Milk], CORN SYRUP, CORN SYRUP SOLIDS, WHEY, STABILIZER [GUAR GUM, MONO & DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN], VANILLA FLAVOR [HIGH FRUCTOSE CORN SYRUP, NATURAL & ARTIFICIAL FLAVORS, CARAMEL COLOR], ANNATTO EXTRACT (COLOR).",Milk,8,1 Unit (54g),100,,3g,,4%,,2g,,10%,,0g,,0%,,10mg,,0%,,50mg,,0%,,17g,,0%,,0g,,0%,,12g,,0g,,0%,,0g,,0%,,0mg,,0%,,1mg,,0%,,0mg,,0%,,1mg,,0%,,0mg,0%,x,,,,,x,,,,,,x,,,,,,,,,X,X,,X
Orange Vanilla ,cup,Low fat Vanilla flavored ice cream with orange sherbet,"INGREDIENTS: ORANGE SHERBET NONFAT Milk, SUGAR, WATER, CORN SYRUP, CREAM, WHEY, ORANGE PUREE CONCENTRATE (WATER, ORANGE JUICE CONCENTRATE, ORANGE PULP, CORN SYRUP, NATURAL FLAVOR, TELLOW 6 (COLOR), STABILIZER (GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN), CITRIC ACID, YELLOW 6, (COLOR) VANILLA LOWFAT ICE CREAM (NONFAT Milk, BUTTERMilk, SUGAR, CORN SYRUP, CREAM,WHEY, STABILIZER (GUAR GUM, MONO AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 80, CARRAGEENAN), MALTODEXTRIN, FLAVOR (ARTIFICIAL FLAVOR, CARAMEL CORLOR). CONTAINS: Milk",Milk,1,1 Unit (57g),80,,1.5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,35mg,,0%,,16g,,0%,,0g,,0%,,13g,,10g,,0%,,1g,,,,0g,,0%,,50mg,,0%,,0mg,,0%,,80mg,,0%,,,,x,,x,,,,,,,,,,,,,x,,,,x,X,X,,X
